match_id,team,opponent,goals_scored,goals_conceded,result,goal_difference
WC2026-001,Mexico,South Africa,2,0,Win,2
WC2026-001,South Africa,Mexico,0,2,Loss,-2
WC2026-002,South Korea,Czechia,2,1,Win,1
WC2026-002,Czechia,South Korea,1,2,Loss,-1
WC2026-003,Canada,Bosnia-Herzegovina,1,1,Draw,0
WC2026-003,Bosnia-Herzegovina,Canada,1,1,Draw,0
WC2026-004,USA,Paraguay,4,1,Win,3
WC2026-004,Paraguay,USA,1,4,Loss,-3
WC2026-005,Brazil,Morocco,1,1,Draw,0
WC2026-005,Morocco,Brazil,1,1,Draw,0
WC2026-006,Haiti,Scotland,0,1,Loss,-1
WC2026-006,Scotland,Haiti,1,0,Win,1
WC2026-007,Australia,Turkiye,2,0,Win,2
WC2026-007,Turkiye,Australia,0,2,Loss,-2
WC2026-008,Qatar,Switzerland,1,1,Draw,0
WC2026-008,Switzerland,Qatar,1,1,Draw,0
WC2026-009,Germany,Curacao,7,1,Win,6
WC2026-009,Curacao,Germany,1,7,Loss,-6
WC2026-010,Ivory Coast,Ecuador,1,0,Win,1
WC2026-010,Ecuador,Ivory Coast,0,1,Loss,-1
WC2026-011,Netherlands,Japan,2,2,Draw,0
WC2026-011,Japan,Netherlands,2,2,Draw,0
WC2026-012,Sweden,Tunisia,5,1,Win,4
WC2026-012,Tunisia,Sweden,1,5,Loss,-4
WC2026-013,Spain,Cape Verde,0,0,Draw,0
WC2026-013,Cape Verde,Spain,0,0,Draw,0
WC2026-014,Belgium,Egypt,1,1,Draw,0
WC2026-014,Egypt,Belgium,1,1,Draw,0
WC2026-015,Saudi Arabia,Uruguay,1,1,Draw,0
WC2026-015,Uruguay,Saudi Arabia,1,1,Draw,0
WC2026-016,Iran,New Zealand,2,2,Draw,0
WC2026-016,New Zealand,Iran,2,2,Draw,0
WC2026-017,France,Senegal,3,1,Win,2
WC2026-017,Senegal,France,1,3,Loss,-2
WC2026-018,Iraq,Norway,1,4,Loss,-3
WC2026-018,Norway,Iraq,4,1,Win,3
WC2026-019,Argentina,Algeria,3,0,Win,3
WC2026-019,Algeria,Argentina,0,3,Loss,-3
WC2026-020,Austria,Jordan,3,1,Win,2
WC2026-020,Jordan,Austria,1,3,Loss,-2
WC2026-021,Portugal,DR Congo,1,1,Draw,0
WC2026-021,DR Congo,Portugal,1,1,Draw,0
WC2026-022,England,Croatia,4,2,Win,2
WC2026-022,Croatia,England,2,4,Loss,-2
WC2026-023,Ghana,Panama,1,0,Win,1
WC2026-023,Panama,Ghana,0,1,Loss,-1
WC2026-024,Uzbekistan,Colombia,1,3,Loss,-2
WC2026-024,Colombia,Uzbekistan,3,1,Win,2
WC2026-025,Czechia,South Africa,1,1,Draw,0
WC2026-025,South Africa,Czechia,1,1,Draw,0
WC2026-026,Mexico,South Korea,1,0,Win,1
WC2026-026,South Korea,Mexico,0,1,Loss,-1
WC2026-027,Switzerland,Bosnia-Herzegovina,4,1,Win,3
WC2026-027,Bosnia-Herzegovina,Switzerland,1,4,Loss,-3
WC2026-028,Canada,Qatar,6,0,Win,6
WC2026-028,Qatar,Canada,0,6,Loss,-6
WC2026-029,Morocco,Scotland,1,0,Win,1
WC2026-029,Scotland,Morocco,0,1,Loss,-1
WC2026-030,Brazil,Haiti,3,0,Win,3
WC2026-030,Haiti,Brazil,0,3,Loss,-3
WC2026-031,USA,Australia,2,0,Win,2
WC2026-031,Australia,USA,0,2,Loss,-2
WC2026-032,Paraguay,Turkiye,1,0,Win,1
WC2026-032,Turkiye,Paraguay,0,1,Loss,-1
WC2026-033,Germany,Ivory Coast,2,1,Win,1
WC2026-033,Ivory Coast,Germany,1,2,Loss,-1
WC2026-034,Ecuador,Curacao,0,0,Draw,0
WC2026-034,Curacao,Ecuador,0,0,Draw,0
WC2026-035,Netherlands,Sweden,5,1,Win,4
WC2026-035,Sweden,Netherlands,1,5,Loss,-4
WC2026-036,Japan,Tunisia,4,0,Win,4
WC2026-036,Tunisia,Japan,0,4,Loss,-4
WC2026-037,Spain,Saudi Arabia,4,0,Win,4
WC2026-037,Saudi Arabia,Spain,0,4,Loss,-4
WC2026-038,Belgium,Iran,0,0,Draw,0
WC2026-038,Iran,Belgium,0,0,Draw,0
WC2026-039,Uruguay,Cape Verde,2,2,Draw,0
WC2026-039,Cape Verde,Uruguay,2,2,Draw,0
WC2026-040,New Zealand,Egypt,1,3,Loss,-2
WC2026-040,Egypt,New Zealand,3,1,Win,2
WC2026-041,Argentina,Austria,2,0,Win,2
WC2026-041,Austria,Argentina,0,2,Loss,-2
WC2026-042,France,Iraq,3,0,Win,3
WC2026-042,Iraq,France,0,3,Loss,-3
WC2026-043,Norway,Senegal,3,2,Win,1
WC2026-043,Senegal,Norway,2,3,Loss,-1
WC2026-044,Jordan,Algeria,1,2,Loss,-1
WC2026-044,Algeria,Jordan,2,1,Win,1
WC2026-045,Portugal,Uzbekistan,5,0,Win,5
WC2026-045,Uzbekistan,Portugal,0,5,Loss,-5
WC2026-046,England,Ghana,0,0,Draw,0
WC2026-046,Ghana,England,0,0,Draw,0
WC2026-047,Panama,Croatia,0,1,Loss,-1
WC2026-047,Croatia,Panama,1,0,Win,1
WC2026-048,Colombia,DR Congo,1,0,Win,1
WC2026-048,DR Congo,Colombia,0,1,Loss,-1
WC2026-049,Switzerland,Canada,2,1,Win,1
WC2026-049,Canada,Switzerland,1,2,Loss,-1
WC2026-050,Bosnia-Herzegovina,Qatar,3,1,Win,2
WC2026-050,Qatar,Bosnia-Herzegovina,1,3,Loss,-2
WC2026-051,Scotland,Brazil,0,3,Loss,-3
WC2026-051,Brazil,Scotland,3,0,Win,3
WC2026-052,Morocco,Haiti,4,2,Win,2
WC2026-052,Haiti,Morocco,2,4,Loss,-2
